id,symbol,date,ma_10,ma_50,ma_200,rsi,macd,macd_signal,macd_histogram,bollinger_upper,bollinger_middle,bollinger_lower,support_level,resistance_level,trend,created_at
1,HBL,2026-01-31,,,,,,,,,,,337.6,350.49,unknown,2026-01-30 20:32:34
2,UBL,2026-01-31,,,,,,,,,,,480.0,497.0,unknown,2026-01-30 20:32:34
3,MCB,2026-01-31,,,,,,,,,,,404.0,421.95,unknown,2026-01-30 20:32:34
4,NBP,2026-01-31,,,,,,,,,,,267.14,276.5,unknown,2026-01-30 20:32:34
5,BAFL,2026-01-31,,,,,,,,,,,122.0,128.0,unknown,2026-01-30 20:32:34
6,MEBL,2026-01-31,,,,,,,,,,,478.06,490.5,unknown,2026-01-30 20:32:34
7,ABL,2026-01-31,,,,,,,,,,,197.0,208.44,unknown,2026-01-30 20:32:34
8,BAHL,2026-01-31,,,,,,,,,,,194.04,200.5,unknown,2026-01-30 20:32:34
9,AKBL,2026-01-31,,,,,,,,,,,114.54,125.45,unknown,2026-01-30 20:32:34
10,BOP,2026-01-31,,,,,,,,,,,38.53,42.0,unknown,2026-01-30 20:32:34
11,OGDC,2026-01-31,,,,,,,,,,,318.6,335.0,unknown,2026-01-30 20:32:34
12,PPL,2026-01-31,,,,,,,,,,,273.02,284.6,unknown,2026-01-30 20:32:34
13,POL,2026-01-31,,,,,,,,,,,630.26,678.97,unknown,2026-01-30 20:32:34
14,MARI,2026-01-31,,,,,,,,,,,693.01,739.0,unknown,2026-01-30 20:32:34
15,PSO,2026-01-31,,,,,,,,,,,467.7,495.48,unknown,2026-01-30 20:32:34
16,APL,2026-01-31,,,,,,,,,,,598.02,633.0,unknown,2026-01-30 20:32:34
17,SNGP,2026-01-31,,,,,,,,,,,113.5,119.95,unknown,2026-01-30 20:32:34
18,SSGC,2026-01-31,,,,,,,,,,,33.9,35.4,unknown,2026-01-30 20:32:34
19,HASCOL,2026-01-31,,,,,,,,,,,24.51,26.99,unknown,2026-01-30 20:32:34
20,FFC,2026-01-31,,,,,,,,,,,576.0,600.0,unknown,2026-01-30 20:32:35
21,EFERT,2026-01-31,,,,,,,,,,,239.5,248.0,unknown,2026-01-30 20:32:35
22,FATIMA,2026-01-31,,,,,,,,,,,170.0,179.9,unknown,2026-01-30 20:32:35
23,LUCK,2026-01-31,,,,,,,,,,,465.0,497.0,unknown,2026-01-30 20:32:35
24,DGKC,2026-01-31,,,,,,,,,,,221.01,237.16,unknown,2026-01-30 20:32:35
25,MLCF,2026-01-31,,,,,,,,,,,113.62,122.4,unknown,2026-01-30 20:32:35
26,FCCL,2026-01-31,,,,,,,,,,,56.03,59.6,unknown,2026-01-30 20:32:35
27,PIOC,2026-01-31,,,,,,,,,,,333.25,362.0,unknown,2026-01-30 20:32:35
28,CHCC,2026-01-31,,,,,,,,,,,320.0,334.87,unknown,2026-01-30 20:32:35
29,KOHC,2026-01-31,,,,,,,,,,,105.0,116.2,unknown,2026-01-30 20:32:35
30,ACPL,2026-01-31,,,,,,,,,,,275.0,301.07,unknown,2026-01-30 20:32:35
31,BWCL,2026-01-31,,,,,,,,,,,515.0,525.99,unknown,2026-01-30 20:32:35
32,GWLC,2026-01-31,,,,,,,,,,,60.0,65.14,unknown,2026-01-30 20:32:35
33,HUBC,2026-01-31,,,,,,,,,,,228.01,243.0,unknown,2026-01-30 20:32:35
34,KAPCO,2026-01-31,,,,,,,,,,,34.5,35.75,unknown,2026-01-30 20:32:35
35,PKGP,2026-01-31,,,,,,,,,,,57.0,60.94,unknown,2026-01-30 20:32:35
36,NCPL,2026-01-31,,,,,,,,,,,64.05,84.1,unknown,2026-01-30 20:32:35
37,EPQL,2026-01-31,,,,,,,,,,,31.25,32.0,unknown,2026-01-30 20:32:35
38,KEL,2026-01-31,,,,,,,,,,,6.96,7.37,unknown,2026-01-30 20:32:35
39,KML,2026-01-31,,,,,,,,,,,12.17,13.8,unknown,2026-01-30 20:32:35
40,SEARL,2026-01-31,,,,,,,,,,,118.1,126.58,unknown,2026-01-30 20:32:35
41,GLAXO,2026-01-31,,,,,,,,,,,416.0,435.0,unknown,2026-01-30 20:32:35
42,HINOON,2026-01-31,,,,,,,,,,,985.0,1055.0,unknown,2026-01-30 20:32:35
43,FEROZ,2026-01-31,,,,,,,,,,,402.0,439.0,unknown,2026-01-30 20:32:35
44,IBLHL,2026-01-31,,,,,,,,,,,57.5,62.0,unknown,2026-01-30 20:32:35
45,AGP,2026-01-31,,,,,,,,,,,205.32,228.0,unknown,2026-01-30 20:32:35
