Date,Symbol,Signal,Conviction,Commentary,Risk_Flag,Future_Path,Model
2026-02-05,AKDSL,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,CYAN,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,PINL,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,MCBIM,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,TPLP,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,SPCL,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,786,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,JSIL,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,RICL,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
2026-02-05,GEMPACRA,HOLD,0%,,,Real-time Deployment,Groq Llama-3.3-70b (SMI-v1)
